,id,isin,cnyesId_new,cnyesId_old,FALSE,Unnamed: 5
1794,1794.0,TW000T2540Y0,A05004,A25031,False,
1812,1812.0,TW000T4224B7,A1pOrH5,A39tZIi,False,
1861,1861.0,TW000T3739Y7,A32053,A37035,False,
1863,1863.0,TW000T3744Y7,A32053,A37046,False,
1864,1864.0,TW000T1432Y1,A05009,A14056,False,
1875,1875.0,TW000T4702Y4,A32020,A47002,False,
2021,2021.0,TW0000054006,A37086,A13027,False,
2067,2067.0,TW0000074202,A37086,A1gvHz0,False,
2113,2113.0,TW000T3608Y4,A32020,A36008,False,
2241,2241.0,TW000T4404Y7,A32053,A44003,False,
2278,2278.0,TW000T0727C1,A07027,A07065,False,
2383,2383.0,TW000T4125A8,A2oxyd8,A41030,False,
2384,2384.0,TW000T4125B6,A2E4Eu0,A41031,False,
2385,2385.0,TW000T4125C4,A3UkW6Y,A41032,False,
2518,2518.0,TW000T4404A7,A1ZDRTN,A3EP51b,False,
2519,2519.0,TW000T4404B5,A4ejfu3,A12fb5K,False,
2598,2598.0,TW000T4717G9,A1BDLmt,A2ObTYZ,False,
2652,2652.0,TW000T1501Y3,A05008,A15001,False,
2679,2679.0,,A12001,A13048,False,
2745,2745.0,LU0533029715,B030791,"B35,037",False,
2751,2751.0,LU0992628429,B030791,"B74,002",False,
2754,2754.0,LU0939086780,B030791,"B35,052",False,
2788,2788.0,LU0894524577,B030791,B2SQc44,False,
2822,2822.0,LU0343523998,B030791,"B15,233",False,
2846,2846.0,IE00B237VG42,"B71,086","B24,044",False,
2854,2854.0,LU1127388780,B030791,"B03,634",False,
2874,2874.0,LU1711226438,B030791,B4clIeJ,False,
2887,2887.0,LU0316494557,B030791,"B15,227",False,
2892,2892.0,LU0633140990,B030791,"B03,541",False,
2895,2895.0,LU0911025368,B030791,B113WXX,False,
2902,2902.0,LU1711226354,B030791,B2HIh8p,False,
2953,2953.0,LU1299305943,B030791,"B74,003",False,
2962,2962.0,LU0316494805,B030791,"B15,230",False,
2965,2965.0,LU0757429674,B030791,"B10,077",False,
2969,2969.0,LU0939086608,B030791,"B35,057",False,
2979,2979.0,LU0992628692,B030791,"B74,001",False,
3008,3008.0,LU2282081913,B030791,B1IfVUw,False,
3063,3063.0,LU0516364816,B030791,"B35,035",False,
3076,3076.0,SG9999002174,"B18,041","B18,037",False,
3092,3092.0,LU0232526946,B030791,"B03,162",False,
3133,3133.0,LU2223788006,B030791,B1wqgfe,False,
3184,3184.0,LU0757426738,B030791,"B10,032",False,
3209,3209.0,IE00B510R804,"B71,030","B25,238",False,
3212,3212.0,IE0031618964,"B24,007","B25,046",False,
3215,3215.0,LU1008671502,B030791,"B03,528",False,
3216,3216.0,LU0632451356,B030791,"B35,045",False,
3249,3249.0,LU0511407966,B030791,"B03,359",False,
3286,3286.0,LU0845998839,B030791,"B31,082",False,
3320,3320.0,IE0034203483,"B24,007","B25,049",False,
3374,3374.0,LU2185883449,B030791,B4XDzQ9,False,
3397,3397.0,LU0632451943,B030791,"B35,044",False,
3432,3432.0,LU0533020763,B030791,"B35,040",False,
3439,3439.0,LU2185891624,B030791,B1wxpNB,False,
3445,3445.0,LU2223788188,B030791,B4cKIPr,False,
3538,3538.0,LU0448042043,B030791,"B03,325",False,
3569,3569.0,LU0243958047,B030791,"B16,180",False,
3594,3594.0,LU0159197101,B030791,"B57,006",False,
3618,3618.0,IE00B3ZLVC75,"B71,041","B25,236",False,
3639,3639.0,LU0474694147,B030791,"B57,008",False,
3682,3682.0,IE00B50WV524,"B25,185","B25,279",False,
3691,3691.0,LU0757433510,B030791,"B10,059",False,
3693,3693.0,IE0034203152,"B24,007","B25,227",False,
3711,3711.0,IE00B2Q1FF07,"B25,179","B25,182",False,
3722,3722.0,IE00B19Z6Z90,"B25,152","B25,156",False,
3780,3780.0,LU0232536317,B030791,"B03,097",False,
3800,3800.0,LU0328307490,B030791,"B03,312",False,
3808,3808.0,LU0248037169,B030791,"B16,178",False,
3819,3819.0,LU2223787966,B030791,B3rWDS6,False,
3835,3835.0,LU0511406992,B030791,"B03,358",False,
3842,3842.0,LU0246609407,B030790,"B03,302",False,
3843,3843.0,LU0533427448,B030791,"B31,045",False,
3885,3885.0,IE00B931T832,"B46,051","B43,015",False,
3896,3896.0,LU2282081830,B030791,B1t2Z5W,False,
3918,3918.0,LU0757426498,B030791,"B10,103",False,
3949,3949.0,LU0965089138,B030791,"B31,080",False,
3976,3976.0,LU0511406059,B030791,"B03,378",False,
4001,4001.0,LU2186299629,B030791,B1Akq8p,False,
4018,4018.0,LU0719521006,B030791,"B57,011",False,
4030,4030.0,IE00B19Z6Y83,"B25,084","B25,062",False,
4076,4076.0,LU0243957825,B030791,"B16,179",False,
4086,4086.0,IE00BSBN5Z38,"B22,124",B2A0zmA,False,
4113,4113.0,IE0034205421,"B24,007","B25,048",False,
4114,4114.0,LU0766125016,B030791,"B14,311",False,
4142,4142.0,LU0253245285,B030791,"B03,273",False,
4156,4156.0,LU0085333697,B030791,"B03,316",False,
4210,4210.0,LU0260866396,B030791,"B15,092",False,
4217,4217.0,IE00BQJZX531,"B25,256","B25,258",False,
4233,4233.0,LU1663840368,B030791,B3StIbA,False,
4256,4256.0,LU0118140002,"B29,030","B29,039",False,
4283,4283.0,LU0314589945,B030791,"B23,169",False,
4300,4300.0,SG9999002950,"B18,038","B18,040",False,
4317,4317.0,IE00B19Z4555,"B25,075","B25,167",False,
4335,4335.0,IE0032129094,"B24,007","B43,007",False,
4339,4339.0,LU0048587603,B030791,"B14,005",False,
4351,4351.0,LU0273146190,B030791,"B49,047",False,
4359,4359.0,LU0757432116,B030791,"B10,034",False,
4367,4367.0,LU1882445643,B030791,"B32,105",False,
4373,4373.0,LU0140636845,B030791,"B23,199",False,
4375,4375.0,LU0210301635,B030791,"B49,043",False,
4413,4413.0,SG9999001135,"B18,023","B18,001",False,
4443,4443.0,LU1020929615,B030791,"B03,558",False,
4444,4444.0,LU0384426275,B030791,"B35,067",False,
4466,4466.0,LU0175140598,B030791,"B03,211",False,
4475,4475.0,LU0285258777,B030791,"B15,079",False,
4476,4476.0,LU0757431068,B030791,"B10,075",False,
4480,4480.0,IE0031619152,"B24,007","B25,045",False,
4491,4491.0,SG9999003008,"B18,030","B18,011",False,
4547,4547.0,LU0236150610,B030791,"B49,033",False,
4575,4575.0,IE00B4M8CY70,"B71,005","B25,276",False,
4602,4602.0,LU1379001909,B030791,"B35,072",False,
4604,4604.0,IE00BQJZX200,"B25,256","B25,255",False,
4639,4639.0,LU0011963328,B030791,"B05,011",False,
4647,4647.0,LU1035773735,B030791,"B03,586",False,
4665,4665.0,LU0048587868,B030791,"B14,029",False,
